SystemID,Send Date,Content Name,Testing,Source,Card ID,Tier,Status,EDM_Sent,EDM_Bounce,EDM_Open,EDM_Click,APP_Open
JH-0001598355,2021-10-14T23:20:10.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB0869130,DYNA,,0,0,0,0,0
JH-0001598353,2021-10-14T15:20:29.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB4163433,DYNA,Success,0,0,0,0,0
JH-0001598348,2021-10-14T04:27:26.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,APP,WF2629451,DYNA,,0,0,0,0,0
JH-0001598349,2021-10-14T04:27:26.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,APP,WF3897167,DYNA,,0,0,0,0,0
JH-0001598103,2021-09-28T08:46:10.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WA5556420,GOLD,Success,0,0,0,0,0
JH-0001598343,2021-10-13T05:55:32.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WB3007563,DYNA,Delivered,0,0,0,0,0
JH-0001598354,2021-10-14T15:20:33.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WD9677867,DYNA,Success,0,0,0,0,0
JH-0001598081,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,CM0000000,EMER,Click,1,0,1,1,0
JH-0001598082,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,CT0000000,EMER,Click,1,0,1,1,0
JH-0001598083,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,AJ0000000,GOLD,Click,1,0,1,1,0
JH-0001598084,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,NK0000000,PARA,Click,1,0,1,1,0
JH-0001598085,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,AA0000000,DYNA,Click,1,0,1,1,0
JH-0001598079,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,NN0000000,PARA,Click,1,0,1,1,0
JH-0001598080,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,FZ0000000,EMER,Click,1,0,1,1,0
JH-0001598073,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,AY0000000,GOLD,Click,1,0,1,1,0
JH-0001598074,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,SG0000000,PARA,Click,1,0,1,1,0
JH-0001598075,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,AN0000000,DYNA,Click,1,0,1,1,0
JH-0001598076,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,AT0000000,GOLD,Click,1,0,1,1,0
JH-0001598356,2021-10-14T23:20:12.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WB0869130,DYNA,,0,0,0,0,0
JH-0001598091,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,NK0000000,PARA,Click,1,0,1,1,0
JH-0001598092,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,CT0000000,EMER,Click,1,0,1,1,0
JH-0001598093,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AN0000000,DYNA,Click,1,0,1,1,0
JH-0001598094,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AJ0000000,GOLD,Click,1,0,1,1,0
JH-0001598095,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,NN0000000,PARA,Click,1,0,1,1,0
JH-0001598096,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,SG0000000,PARA,Click,1,0,1,1,0
JH-0001598097,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,FZ0000000,EMER,Click,1,0,1,1,0
JH-0001598098,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AA0000000,DYNA,Click,1,0,1,1,0
